risk,zip,latitude,longitude,facility_type,dba_name,address,neighborhood
Risk 1 (High),60638.0,41.7959054058,-87.760410155,restaurant,1st chop suey,5845 s archer ave ,Garfield Ridge
Risk 1 (High),60628.0,41.70074439,-87.642788385,daycare (2 - 6 years),1st fruits academy inc,10622-10624 s halsted st ,Washington Heights
Risk 1 (High),60630.0,41.9770412687,-87.7544283886,restaurant,"1st hunan spring, inc",5279 n elston ave ,"Sauganash,Forest Glen"
Risk 1 (High),60602.0,41.8831005395,-87.6303312119,other,1st united methodist church of chicago aid society,77 w washington st ,Loop
Risk 1 (High),60625.0,41.9758474123,-87.7096035578,restaurant,2 asian brothers,3222 w foster ave ,North Park
Risk 2 (Medium),60644.0,41.8708260144,-87.7447676388,restaurant,2 big sharks fish & chicken,749 s cicero ave ,Austin
Risk 3 (Low),60618.0,41.939285933,-87.720570209,other,2 in 1 mini mart,3716 w belmont ave ,Avondale
Risk 2 (Medium),60619.0,41.7269167614,-87.6047369443,restaurant,2 plus,9218 s cottage grove ave ,Chatham
Risk 1 (High),60614.0,41.9327235569,-87.6432493759,restaurant,2 sparrows,553-555 w diversey pkwy ,Lincoln Park
Risk 3 (Low),60604.0,41.878949977,-87.6262521173,other,2 twenty 2 tavern,222 s wabash ave ,Loop
Risk 3 (Low),60601.0,41.8846320758,-87.6222479911,grocery store,200 convenience,200 e randolph st ,Loop
Risk 3 (Low),60653.0,41.8094238941,-87.620951802,grocery store,200 liquors,204 e 47th st ,Grand Boulevard
Risk 3 (Low),60636.0,41.7935912941,-87.6644276372,other,"2001 express mini mart, inc.",5501 s ashland ave ,Englewood
Risk 3 (Low),60646.0,41.996371597,-87.7642770382,other,2001 gas central,6308 n central ave ,"Sauganash,Forest Glen"
Risk 2 (Medium),60657.0,41.9399945565,-87.6508855147,restaurant,2002 donuts inc,3200 n clark st ,Lake View
Risk 3 (Low),60618.0,41.9564504022,-87.7128452298,grocery store,2012 food mart inc,4125 n kimball ave ,Irving Park
Risk 1 (High),60618.0,41.9542569282,-87.6794131278,restaurant,2012 w irving park,2012-2014 w irving park rd ,North Center
Risk 1 (High),60619.0,41.7510966073,-87.6096830058,restaurant,2015 see thru chinese kitchen,609 e 79th st ,Chatham
Risk 1 (High),60607.0,41.8858150391,-87.6496672665,restaurant,205 i.c. inc,205-209 n peoria st ,West Loop
Risk 3 (Low),60606.0,41.8860195657,-87.6399923961,other,212 on the river,212 n canal st ,West Loop
Risk 3 (Low),60606.0,41.8830991578,-87.6346003632,other,225 cafe,225 w washington st ,Loop
Risk 3 (Low),60623.0,41.8518809205,-87.7048306573,grocery store,"22nd food mart, inc.",3150 w cermak rd ,Little Village
Risk 3 (Low),60604.0,41.8786743482,-87.6262422953,other,"234 s. wabash, inc.",234 s wabash ave ,Loop
Risk 3 (Low),60636.0,41.7755057585,-87.683691462,other,24 & 7,6500-6504 s western ave ,Chicago Lawn
Risk 3 (Low),60644.0,41.8865757736,-87.7551435754,grocery store,24 foods,329 n laramie ave ,Austin
Risk 3 (Low),60644.0,41.8873268069,-87.7554634564,grocery store,24 foods' mart,360 n laramie ave ,Austin
Risk 1 (High),60630.0,41.9679970111,-87.7403112034,restaurant,24 grill,4461 w lawrence ave ,Irving Park
Risk 2 (Medium),60628.0,41.7069927091,-87.6281539427,grocery store,24 hours food mart,157 w 103rd st ,Roseland
Risk 1 (High),60649.0,41.7663726805,-87.5739193636,restaurant,"24 hrs gyros & sub inc.,",2058 e 71st st ,South Shore
Risk 1 (High),60647.0,41.917861746,-87.6778976316,restaurant,24 karrots,2004 w armitage ave ,Bucktown
Risk 3 (Low),60613.0,41.9616671369,-87.6497605695,grocery store,24 seven food mart,4343 n clarendon ave ,Uptown
Risk 2 (Medium),60628.0,41.7072735816,-87.6235859234,grocery store,24-7 mart,2 w 103rd st ,Roseland
Risk 3 (Low),60636.0,41.7754494014,-87.6836895389,grocery store,24/7 convenient food mart,6502-6504 s western ave ,Chicago Lawn
Risk 3 (Low),60609.0,41.8012290139,-87.6646276075,grocery store,"24/7 express mart, inc.",5101 s ashland ave ,New City
Risk 3 (Low),60625.0,41.9683570682,-87.7275783515,other,240 cafe & lounge,3948 w lawrence ave ,Albany Park
Risk 3 (Low),60614.0,41.925671304,-87.6698415688,other,"2417 n. clybourn, inc.",2417 n clybourn ave ,Lincoln Park
Risk 3 (Low),60639.0,41.9091550764,-87.7746829701,grocery store,24hr mini mart & cellar for you,5937 w north ave ,Austin
Risk 1 (High),60654.0,41.8959396686,-87.6313786609,restaurant,25 degrees,736 n clark st ,River North
Risk 1 (High),60616.0,41.8456033722,-87.6340915226,restaurant,260 sports bar,258-260 w 26th st ,Armour Square
Risk 3 (Low),60652.0,41.7421273294,-87.7023346805,grocery store,267 foods,8310 s kedzie ave ,Ashburn
Risk 2 (Medium),60623.0,41.84440733,-87.7050998494,grocery store,26th & kedzie gas inc,3201 w 26th st ,Little Village
Risk 3 (Low),60623.0,41.8442102987,-87.7192730391,grocery store,"26th convenient store, inc",3751 w 26th st ,Little Village
Risk 2 (Medium),60616.0,41.8454862478,-87.6428369731,restaurant,26th street sugar shack,630 w 26th st ,Bridgeport
Risk 2 (Medium),60612.0,41.8809770577,-87.6945604071,restaurant,"2715 west madison, llc",2715 w madison st ,Garfield Park
Risk 3 (Low),60659.0,41.9976770767,-87.6992489782,other,2750 restaurant,2750 w devon ave ,West Ridge
Risk 3 (Low),60612.0,41.8760055547,-87.7009372013,grocery store,290 express inc,345 s sacramento blvd ,Garfield Park
Risk 1 (High),60657.0,41.9361716486,-87.6369390523,restaurant,2960 beverage corporation,2960 n lake shore dr ,Lake View
